id,title,url,content,image,category
install-guide-sprinter-dashboard-mount,Sprinter Dashboard Mount Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD-074_-_Sprinter_-_Dashboard_Mount_-_Instruction_Guide_37377d71-027a-46c3-80be-558b72e8afc5.pdf?v=1725925566,Installation guide and instructions for Sprinter Dashboard Mount.,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/2.png?v=1725916304,Installation Guide
install-guide-sprinter-defender-catalytic-coverter-guard,Sprinter Defender Catalytic Converter Guard Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD085_-_Sprinter_-_Defender_Catalytic_Converter_Guard_-_Instruction_Guide.pdf?v=1774307914,"SEE INSTALL GUIDE HERE This is a >1hr. Installation, once the guard has been pre-assembled (uses a combination of mounting brackets & OEM chassis bolt location) Tools Required for Installation: REQUIRED: ½” Drive Cordless Impact Wrench // ½” Drive Extension (min. 9”L) // ½” Drive Swivel Joint Adapter // ½” Drive E18 Torx Socket // Cordless Impact Driver w/ ⅜” Drive Socket Adapter // ⅜” Drive ⅜” Hex Socket // ⅜” Drive 7/16” Hex Socket (deep-well if preferred) // ⅜” Drive Ratchet // T27 Torx Allen Key",https://cdn.shopify.com/s/files/1/0038/2307/5443/files/1_d896d8cd-a003-4cc0-b5ec-ee552c634c83.jpg?v=1774306930,Installation Guide
install-guide-sprinter-defender-mini-rear-step,Sprinter Defender Mini Rear Step Installation Guide,https://youtu.be/VFZr1s6pkT8,Tools Required for Installation: 5 / 8 “ Hex Drive ( for 1 / 2 “ Bolts) 3 / 4 “ Hex Drive ( for 1 / 2 “ Nuts) 1 / 4 “ Hex Drive ( for 5 / 16 “ Bolts) 1 / 2 “ Hex Drive ( for 5 / 16 “ Nuts) Learn more in this Product Spotlight Video Access the Install Guide Here,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/Untitleddesign-2.jpg?v=1727133349,Installation Guide
install-guide-sprinter-scout-center-console-box,Sprinter Scout Center Console Box Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD084_-_Sprinter_-_Center_Console_-_Instruction_Guide.pdf?v=1768869075,Installation guide and instructions for Sprinter Scout Center Console Box.,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/38_1563fee2-ed8d-406c-91e7-6093f772b581.jpg?v=1768932106,Installation Guide
install-guide-sprinter-scout-light-bar,Sprinter Scout Light Bar Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD092_-_Sprinter_-_Scout_Light_Bar_-_Instruction_Guide.pdf?v=1787860746,Instruction Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/ScoutLightBar-ReverseFrontThreeQuarter.png?v=1787856399,Installation Guide
install-guide-sprinter-scout-rack,Sprinter Scout Rack 144 Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD078_-_Sprinter_-_Scout_Rack_144_-_Instruction_Guide.pdf?v=1742257360,Installation guide and instructions for Sprinter Scout Rack 144.,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/PDPSquares.jpg?v=1771627494,Installation Guide
install-guide-sprinter-scout-side-step-1,Sprinter Scout Side Steps Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD006_-_Sprinter_-_Scout_Side_Step_-_Instruction_Guide.pdf?v=1776378962,Minor drilling is required to ensure secure mounting. Overall installation is straightforward and does not require welding or permanent modification to the vehicle structure. Many van owners install them using standard tools; professional installation is recommended if unfamiliar with vehicle mounting hardware or working underneath the van.,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/12_c8624eb1-75ae-4f91-9f6a-dda80a6b302b.jpg?v=1776377567,Installation Guide
install-guide-sprinter-seat-base-table-mount,Sprinter - Seat Base Lagun Table Mount Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNMRT022_-_Sprinter_-_Seat_Base_Table_Mount_-_Instruction_Guide.pdf,VNMRT022 Installation Instructions,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/P1092102.jpg?v=1785545418,Installation Guide
install-guide-sprinter-upgraded-horn-kit,Sprinter Upgraded Horn Kit Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD077_-_Sprinter_-_Upgraded_Horn_Kit_-_Instruction_Guide.pdf?v=1773879939,Installation guide and instructions for Sprinter Upgraded Horn Kit.,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/L1081490-3.jpg?v=1776277740,Installation Guide
install-guide-surf-racks-exterior,Sprinter Exterior Surf Rack Set Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD-016_-_Sprinter_-_Exterior_Surf_Rack_Set_-_Instruction_Guide.pdf?v=1691109741,Installation guide and instructions for Sprinter Exterior Surf Rack Set.,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/BUNDLE_0002_ExteriorSurfRackSetwLadder-01_1c265cbf-c13b-4a61-a4f7-7bf33efd8ec1.jpg?v=1691093579,Installation Guide
install-guide-the-gondola-rack,Sprinter Gondola Rack Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD-062_-_Universal_-_Mule_Carrier_Gondola_Rack_-_Instruction_Guide.pdf?v=1693244203,Installation guide and instructions for Sprinter Gondola Rack.,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/godola.jpg?v=1693244107,Installation Guide
install-guide-the-mule-carrier-gondola-rack,Sprinter Gondola Rack Bundle Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD-031B_-_Sprinter_-_Mule_Carrier_Base_Passenger_-_Instruction_Guide.pdf?v=1690313848,Installation guide and instructions for Sprinter Gondola Rack Bundle.,https://cdn.shopify.com/s/files/1/0038/2307/5443/products/SNOW_2.jpg?v=1773947961,Installation Guide
install-guide-transit-bug-nets-new,Transit Bug Nets Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/Sprinter_-_Bugnet_Side_Rear_-_Instructions.pdf?v=1675287485,Tools Required for Installation: 3- clamps // Utility Knife // Step-Ladder // Hammer // Cleaning rag Link to INSTALL GUIDE,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/1_9d200870-82d9-4c80-abc3-345ea3120264.jpg?v=1774648758,Installation Guide
install-guide-transit-capsules-w-window-cut-outs-bundle-kit,Transit Capsules w/ Window Cut Outs Bundle Kit Installation Guide,https://www.youtube.com/watch?v=3qBh7VcssWY,"Full install video: FULL INSTALL VIDEO . See this step-by-step install video from our friends Tim & Katie: Tim & Katie's Capsule Install Video Note: Tim and Katie modified the capsules prior to installation on their 148 EXT van — if you have a 148 EXT, review this caveat before following their exact steps.",https://cdn.shopify.com/s/files/1/0038/2307/5443/files/2_777cac9e-6ba3-4d82-a5d2-9fd260c5a2a0.jpg?v=1786586703,Installation Guide
install-guide-transit-hydraulic-hood-strut-kit,Transit Hydraulic Hood Strut Kit Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD-061_-_Transit_-_Hood_Strut_Kit_-_Instruction_Guide_1.pdf?v=1695686782,Installation guide and instructions for Transit Hydraulic Hood Strut Kit.,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/CopyofRetailFeedAdinLightGreenBlackSkyBluePixelPlayStyle_1600x1600px_df55a738-5b43-4a6b-a80d-eb1fbc19c88c.jpg?v=1700096213,Installation Guide
install-guide-transit-scout-rack,Transit Scout Rack 148 Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/Transit_-_Scout_Rack_148_-_Instruction_Guide.pdf?v=1749069642,Installation guide and instructions for Transit Scout Rack 148.,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/2_c17b0a32-7bd0-47fd-8e73-7db3847f90f5.jpg?v=1771627626,Installation Guide
install-guide-transit-scout-side-ladder,Transit Scout Side Ladder Installation Guide,https://thevanmart.com/products/transit-scout-rack?_pos=1&_sid=45b9d6664&_ss=r,*Please note that the Vanspeed Transit Scout Rack and Side Steps are required in order to install this product on your van. This side ladder cannot be used on it's own and it only compatible with the other parts in the Vanspeed Scout Series for Ford Transits. Link to Install Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/8_d8b2314a-821b-4deb-9bd3-7f1a267025ea.jpg?v=1770164847,Installation Guide
install-guide-transit-scout-side-step,Transit Scout Side Steps Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD079_-_Transit_-_Scout_Side_Steps_-_Instruction_Guide.pdf?v=1770083968,Link to Install Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/17_3d5d74aa-0f8b-4def-b2ab-b484c5e9e596.jpg?v=1771378412,Installation Guide
install-guide-vanspeed-2014-sprinter-side-ladder,Sprinter Side Ladder Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD-015_-_Sprinter_-_Side_Ladder_-_2024_Revisions_-_Instruction_Guide.pdf?v=1776120669,Here's the INSTALL GUIDE,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD-015sprintersideladderv2_2.png?v=1776120622,Installation Guide
install-guide-vanspeed-40-gal-water-tank-with-mount-in-factory-location,Sprinter Van 40 Gal Water Tank & Mount Kit Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD-010_-_Sprinter_-_40_Gal_Water_Tank_Kit_-_Instruction_Guide.pdf?v=1692145903,Installation guide and instructions for Sprinter Van 40 Gal Water Tank & Mount Kit.,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/40gal_0003_Sprinter-40GalWaterTankKit-01.jpg?v=1692048155,Installation Guide
install-guide-vanspeed-baja-front-bumper,Sprinter Baja Bumper Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD-008_-_Sprinter_-_Baja_Front_Bumper_-_Instruction_Guide.pdf?v=1687548397,Installation guide and instructions for Sprinter Baja Bumper.,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/5_b240a454-fd99-404a-9b23-3644af0672ba.jpg?v=1687469922,Installation Guide
install-guide-vanspeed-bike-rack,Sprinter Mule Carrier Bike Rack Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD-058_-_Universal_-_Mule_Carrier_Bike_Rack_-_Instruction_Guide.pdf?v=1693246973,Installation guide and instructions for Sprinter Mule Carrier Bike Rack.,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/BIKERACK_0000_Universal-MuleCarrierBikeRack-01.jpg?v=1693246881,Installation Guide
install-guide-vanspeed-defender-rear-storage-box,Vanspeed Defender Rear Storage Box Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD083_-_Universal_-_Defender_Rear_Storage_Box_-_Instruction_Guide.pdf?v=1778089357,"Tools Required for Installation: REQUIRED: 7/32” Hex Drive Allen Key // 5/32” Hex Drive Allen Key // 1/8 “ Hex Drive Allen Key // 3/32” Hex Drive Allen Key // 5/64” Hex Drive Allen Key // 9/16” Wrench // 7/16” Wrench // 5/16” Wrench // 3/8 “ Wrench // 11/32” Wrench // 1/4 “ Wrench // 1/4 OR 3/8 “ Drive Ratchet // 7/16” Socket // 11/32” Socket // Phillips Head Screwdriver OPTIONAL: Cordless Drill w/ Bits up to 9/32” // Permanent Marker // Masking Tape Link to INSTALL GUIDE",https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD083-FrontThreeQuarter-Right.png?v=1778025575,Installation Guide
install-guide-vanspeed-front-bumper-with-universal-light-mounts,Sprinter Defender Bumper Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/Sprinter_-_Defender_Front_Bumper_-_Instruction_Guide_1.pdf?v=1687216769,Installation guide and instructions for Sprinter Defender Bumper.,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/aa.jpg?v=1686180947,Installation Guide
install-guide-vanspeed-headliner-shelf,Sprinter Headliner Shelf Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD-026_-_Sprinter_-_Headliner_Shelf_-_Instruction_Guide.pdf?v=1688065445,Installation guide and instructions for Sprinter Headliner Shelf.,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/HEADLINER_0001_Sprinter-HeadlinerShelf-01.jpg?v=1687889030,Installation Guide
install-guide-vanspeed-hood-strut-kit,Sprinter Hydraulic Hood Strut Kit Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD-060_-_Sprinter_-_Hood_Strut_Kit_-_Instruction_Guide_1.pdf?v=1695686657,Installation guide and instructions for Sprinter Hydraulic Hood Strut Kit.,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/1_a0fe1244-48df-4cbb-9dda-039fc9885980.jpg?v=1692379274,Installation Guide
install-guide-vanspeed-rear-step,Sprinter Rear Step Installation Guide,https://www.youtube.com/watch?v=-L4f-WVQjLo,SEE INSTALL VIDEO HERE *May affect rear sensors in rare cases,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/RS_0003_RearStep-Detail01.jpg?v=1687819257,Installation Guide
install-guide-vanspeed-side-steps-driver-passenger,Sprinter Side Steps Installation Guide,https://www.youtube.com/watch?v=7dQu2SaGTLI&t=707s,"SEE FULL INSTALL VIDEO HERE *If you have BOTH a factory AC and an AUX Heater, please watch the INSTALL VIDEO at 9:50 to learn about potential obstructions and needs for the additional Curved Tube Support part option. You can also see image for reference HERE.",https://cdn.shopify.com/s/files/1/0038/2307/5443/files/New_SS_1.jpg?v=1702587184,Installation Guide
install-guide-vanspeed-skid-plate,Sprinter Skid Plate Installation Guide,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/VNSPD-052B_-_Sprinter_-_Front_Skid_Plate_2023_-_Instruction_Guide_1.pdf?v=1710272230,Installation guide and instructions for Sprinter Skid Plate.,https://cdn.shopify.com/s/files/1/0038/2307/5443/files/skid_1.jpg?v=1711998013,Installation Guide
